text,1
"@airnewsalerts .
.",1
"To commemorate the role of Indian soldiers in #WorldWarOne (1914 - 1918), Ambassadors from various countries and people gathered to pay homage at War Memorial, Beach Road, Puducherry today. https://t.co/n1psXtPfqu",1
"PM @narendramodi will dedicate an inland waterways terminal on river #Ganga in Varanasi to the nation tomorrow;  will also receive country’s first container consignment (post independence) to be sent on inland waterways vessel. https://t.co/Wx9bV9MRrg",1
"To commemorate the role of Indian soldiers in #WorldWarOne (1914 - 1918), Ambassadors from various countries and people gathered to pay homage at War Memorial, Beach Road, Puducherry today. https://t.co/n1psXtPfqu",1
"Martyr Rifleman Varun Singh Katal cremated with military honours in his native village Mawa of Samba district in Jammu division. Varun attained martyrdom yesterday when Pakistani troops resorted to indiscriminate firing in Sunderbani sector of #Rajouri district yesterday. @adgpi https://t.co/fHIHK8KgIK",1
"@airnewsalerts Oh, people means including CM of Puducherry?what a AIR non party revelation ?",1
"To commemorate the role of Indian soldiers in #WorldWarOne (1914 - 1918), Ambassadors from various countries and people gathered to pay homage at War Memorial, Beach Road, Puducherry today. https://t.co/n1psXtPfqu",1
"@airnewsalerts @adgpi Shat shat Naman. Pray for the departed noble soul and family. He gave his present for all of us. Jai Hind.",1
"To commemorate the role of Indian soldiers in #WorldWarOne (1914 - 1918), Ambassadors from various countries and people gathered to pay homage at War Memorial, Beach Road, Puducherry today. https://t.co/n1psXtPfqu",1
"Martyr Rifleman Varun Singh Katal cremated with military honours in his native village Mawa of Samba district in Jammu division. Varun attained martyrdom yesterday when Pakistani troops resorted to indiscriminate firing in Sunderbani sector of #Rajouri district yesterday. @adgpi https://t.co/fHIHK8KgIK",1
"Martyr Rifleman Varun Singh Katal cremated with military honours in his native village Mawa of Samba district in Jammu division. Varun attained martyrdom yesterday when Pakistani troops resorted to indiscriminate firing in Sunderbani sector of #Rajouri district yesterday. @adgpi https://t.co/fHIHK8KgIK",1
"???? ?? ?? ??? ?????? ?? ?? ???????? ?? ???? ??? ?????

@ZeeNewsHindi
@News18UP 
@BoltaHindustan 
@KhabarNwi 
@apnnewsindia 
@airnewsalerts 
@NewsNationTV 
@bstvlive 
@AIRNewsHindi 
@IndiaTodayHINDI 
@shalabhmani 
@UPGovt 
@MannKiBaat_PMO 
@bsparivar 
@AmitShah 
@yadavakhilesh https://t.co/V03JuR7Ooh",1
"Indian #Met Dept predicts the depression over southeast Bay of Bengal is very likely to intensify into a Deep Depression during next 12 hours and into a #CyclonicStorm during the subsequent 24 hours. https://t.co/iZj2dQZQvH",1
"To commemorate the role of Indian soldiers in #WorldWarOne (1914 - 1918), Ambassadors from various countries and people gathered to pay homage at War Memorial, Beach Road, Puducherry today. https://t.co/n1psXtPfqu",1
"To commemorate the role of Indian soldiers in #WorldWarOne (1914 - 1918), Ambassadors from various countries and people gathered to pay homage at War Memorial, Beach Road, Puducherry today. https://t.co/n1psXtPfqu",1
hello,1
"""Shah Is A Farsi Name"": Historian's Dig At BJP's Renaming Spree https://t.co/Aj06WLqW6d #NDTVNewsBeeps https://t.co/VWvR0amMWe",1
"""Patriotism is the exact opposite of nationalism: nationalism is a betrayal of patriotism,"" Macron said in a 20-minute address delivered from under the... https://t.co/SRHCfkDVEp",1
"@urmila2008 @Indianbabu9 @GargiRawat @myogiadityanath Are ye ndtv ki hain...the most liberal and secular channel...like ravish kumar....bolna to bnta hai na....???????",1
